Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Meizu,15,15,3742MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
LGE,Optimus Vu,325,,Phone,Qualcomm MSM8660,768x1024,320,armeabi-v7a;armeabi,10,2
PCD Argentina,610,610,1862MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Techpad,816,816,981MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,27,2
Oppo,1100,1100,,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3
Oppo,1107,1107,899MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3
Oppo,1201,1201,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,19;22,2
Oppo,1206,1206,898MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3
Vivo,1601,1601,3823-3872MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.2
Vivo,Y55,1603,1877MB,Phone,Qualcomm MSM8937,720x1280,320,armeabi-v7a;armeabi,23,3.1
Vivo,Y53,1606,1877MB,Phone,Qualcomm MSM8917,540x960,240,armeabi-v7a;armeabi,23,3
Vivo,1609,1609,2851MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3
Vivo,Y55s,1610,2892MB,Phone,Qualcomm MSM8917,720x1280,320,armeabi-v7a;armeabi,23,3
Vivo,vivo 1611,1611,3588-3589MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.1;3.2
Vivo,vivo 1714,1714,2815MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Vivo,vivo 1716,1716,3560-3589MB,Phone,Qualcomm SDM450,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
Vivo,vivo 1718,1718,3560-3586MB,Phone,Qualcomm SDM450,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
Vivo,vivo Y65,1719,2846MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3
Vivo,vivo 1723,1723,3564MB,Phone,Qualcomm MSM8953 Pro,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1724,1724,2838MB,Phone,Qualcomm MSM8917,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3
Vivo,vivo 1725,1725,5713MB,Phone,Qualcomm SDM660,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1726,1726,3754MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1727,1727,3564MB,Phone,Qualcomm SDM450,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,Y71,1801,1833MB,Phone,Qualcomm MSM8917,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3
Vivo,vivo 1802,1802,3754MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1803,1803,2813MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1805,1805,7664MB,Phone,Qualcomm SDM845,1080x2316,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1806,1806,3718MB,Phone,Mediatek MT6771,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,vivo 1808,1808,2813MB,Phone,Mediatek MT6762,720x1520,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Oppo,3007,3007,899MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,19,3
Oppo,3008,3008,,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3
HP,SlateBook 10 x2 PC,3645,1829-1845MB,Tablet,NVidia Tegra 4,1920x1200,240,armeabi-v7a;armeabi,17;18,2
Coolpad,CP8750,8750,1006MB,Phone,Marvell PXA1088,1080x1920,480,armeabi-v7a;armeabi,17,2
Yezz,5.00E+04,5.00E+04,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2
Auchan,Selecline-854599,854599,462MB,Phone,Mediatek MT6572M,480x854,240,armeabi-v7a;armeabi,19,2
How,1001-G,1001-G,1068MB,Tablet,Spreadtrum SC7731C,1024x600,160,armeabi-v7a;armeabi,24,2
Mecer,101P51C,101P51C,953MB,Tablet,Mediatek MT8382,1280x800,160,armeabi-v7a;armeabi,19,2
Mecer,101P51D,101P51D,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3
Hipstreet,HS-10DTB12A,10DTB12A,983MB,Tablet,Mediatek MT8127,1024x600,160,armeabi-v7a;armeabi,21,2
Hipstreet,Pilot,10DTB42,974MB,Tablet,Mediatek MT8163,1024x600,120,arm64-v8a;armeabi-v7a;armeabi,22,3
Hipstreet,Phantom2,10DTB44,968MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3
Meizu,15 Lite,15Lite,3601MB,Phone,Qualcomm MSM8953 Pro,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Meizu,15 Plus,15Plus,5689MB,Phone,Samsung Exynos 8895,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Future Mobile Technology,Netsurfer STORM,16M4HI105024,937MB,Phone,Mediatek MT6737M,480x800,240,armeabi-v7a;armeabi,23,3
Future Mobile Technology,Netsurfer TYPHOON,16M5HI105023,958MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2
Meizu,16th,16th,5689MB,Phone,Qualcomm SDM845,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Meizu,16th Plus,16thPlus,7693MB,Phone,Qualcomm SDM845,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Meizu,16 X,16X,5707MB,Phone,Qualcomm SDM710,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,V9 6GB,1723CF,5708MB,Phone,Qualcomm SDM660,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Vivo,V9,1727ID,3564MB,Phone,Qualcomm SDM450,1080x2280,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Future Mobile Technology,Viper,175FT1050241,902MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Future Mobile Technology,Tomcat,175HS1050231,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2
Future Mobile Technology,Eagle,175WT1050231,964MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,24,2
Future Mobile Technology,B-52,176HS1050232,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2
Future Mobile Technology,Falcon,176HS1050531,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2
Kyocera,Honeybee Touch,201K,778MB,Phone,Qualcomm MSM8960,480x800,240,armeabi-v7a;armeabi,16,2
Kyocera,DIGNO R,202K,1266MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,17,2
Kyocera,DIGNO T,302KC,1360MB,Phone,Qualcomm MSM8926,540x960,240,armeabi-v7a;armeabi,19,3
Sanyo,Benesse,31TL04,,Tablet,Freescale i.MX53,1024x600,160,armeabi-v7a;armeabi,10,2
Coolpad,3300A,3300A,413MB,Phone,Qualcomm MSM8610,480x800,240,armeabi-v7a;armeabi,19,3
Coolpad,3700A,3700A,845MB,Phone,Qualcomm MSM8926,480x854,240,armeabi-v7a;armeabi,19,3
Myria,3G MY8300,3G_MY8300,962MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,23,2
Masstel,Masstel Tab7,3G_Tablet_PC,958MB,Tablet,Mediatek MT8123,600x1024,160,armeabi-v7a;armeabi,24,2
Sony,Xperia Z3,401SO,2748-2787MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,19;21,3
Sony,Xperia Z4,402SO,2815-2822MB,Phone,Qualcomm MSM8994,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.1
Samsung,Galaxy Tab4 7.0,403SC,1359MB,Tablet,Qualcomm MSM8926,800x1280,213,armeabi-v7a;armeabi,19,3
Kyocera,404KC,404KC,882MB,Phone,Qualcomm MSM8916,540x960,240,armeabi-v7a;armeabi,19,3
Samsung,Galaxy S6 Edge,404SC,2675-2697MB,Phone,Samsung Exynos 7420,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,21;23;24,3.1;3.2
Sanyo,Benesse,40TL04,,Tablet,Freescale i.MX53,1024x600,160,armeabi-v7a;armeabi,10,2
Sanyo,Benesse,41EA04,803MB,Tablet,Freescale i.MX6DL,1024x768,160,armeabi-v7a;armeabi,17,2
Yezz,4E,4E,441MB,Phone,Mediatek MT6580,480x800,240,armeabi-v7a;armeabi,24,2
Bitel,B9505,4G_Smart_Phone_B9505,934MB,Phone,Mediatek MT6737M,854x480,240,armeabi-v7a;armeabi,24,3.1
Explay,4Game,4Game,817MB,Phone,NVidia Tegra 4,720x1280,320,armeabi-v7a;armeabi,18,2
4good,4GOOD Light B100,4GOOD_Light_B100,907MB,Phone,Mediatek MT6737M,540x960,240,armeabi-v7a;armeabi,24,3.1
Mobicell,4U,4U,969MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,23,2
Hiya,5-0,5_0,953MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2
Yezz,5.5M,5_5M,958MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2
Fly,5_S,5_S,877MB,Phone,Spreadtrum SC9832,768x1280,320,armeabi-v7a;armeabi,24,2
Lenovo,Softbank 501LV,501LV,1928MB,Tablet,Mediatek MT8735,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,21,3
Sony,Xperia Z5,501SO,2797MB,Phone,Qualcomm MSM8994,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.1
Sony,Xperia X Performance,502SO,2773MB,Phone,Qualcomm MSM8996,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.2
Kyocera,503KC,503KC,1886MB,Phone,Qualcomm MSM8916,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3
NEC,PC-508T1W,508T1W,1870-1899MB,Tablet,Intel BYT Z3745,1200x1920,320,x86;armeabi-v7a;armeabi,19;21,3.0;3.1
Coolpad,5216D,5216D,406MB,Phone,Qualcomm MSM8625,480x800,240,armeabi-v7a;armeabi,16,2
Coolpad,CP5660S,5560S,413MB,Phone,Qualcomm MSM8610,480x800,213,armeabi-v7a;armeabi,19,3
Yezz,5E,5E,944-964MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,24;27,2
Lenovo,TB3-601LV,601LV,1925MB,Tablet,Mediatek MT8735,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,23,3
Sony,Xperia XZ,601SO,2773-2775MB,Phone,Qualcomm MSM8996,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24,3.1;3.2
Kyocera,602KC,602KC,1871MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3
Lenovo,TB3-602LV,602LV,1925MB,Tablet,Mediatek MT8735,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3
Sony,Xperia XZs,602SO,3774MB,Phone,Qualcomm MSM8996,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2
Mirage,62S,62S,964MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,24,2
Nextbook,M-MP7NB3G,7_Plus_HD3G,962MB,Tablet,Mediatek MT8382,600x1024,160,armeabi-v7a;armeabi,19,2
Lenovo,Lenovo TAB4,701LV,1830MB,Tablet,Qualcomm MSM8953,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Sony,Xperia XZ1,701SO,3730MB,Phone,Qualcomm MSM8998,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2
Lenovo,Lenovo TAB4,702LV,1830MB,Tablet,Qualcomm MSM8953,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Sony,Xperia XZ2,702SO,3682MB,Phone,Qualcomm SDM845,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,26,3.2
How,HT704-G,704-G,952MB,Phone,Allwinner A33,1280x800,240,armeabi-v7a;armeabi,23,2
TCT (Alcatel),ALCATEL ONETOUCH Victory,7046T,898MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21,3
Kyocera,704KC,704KC,2860MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
How,705-G,705-G,1068MB,Tablet,Spreadtrum SC7731C,600x1024,160,armeabi-v7a;armeabi,24,2
Kyocera,705KC,705KC,2859MB,Phone,Qualcomm MSM8937,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
NEC,PC-708T1W,708T1W,1870-1899MB,Tablet,Intel BYZT Z3745,1200x1920,320,x86;armeabi-v7a;armeabi,19;21,3.0;3.1
Coolpad,7270I,7270I,466MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,17,2
IView,Retailer Stores,730TPC,916MB,Tablet,Allwinner A64,1024x600,160,arm64-v8a;armeabi-v7a;armeabi,25,2
Coolpad,Flo,7560T,368MB,Phone,Qualcomm MSM8225,480x854,240,armeabi-v7a;armeabi,16,2
Coolpad,Nivo,7560U,367MB,Phone,Qualcomm MSM8225,480x800,240,armeabi-v7a;armeabi,16,2
Honeywell,D75E,75E-L0N,1864-1872MB,Phone,Qualcomm MSM8974AB,480x800,240,armeabi-v7a;armeabi,19;23,3
IView,776TPCIII,776TPCIII,378MB,Tablet,Allwinner A23,800x480,120,armeabi-v7a;armeabi,19,2
Hipstreet,785TB4,785TB4,979MB,Tablet,Mediatek MT8127,1024x768,160,armeabi-v7a;armeabi,21,2
Hipstreet,7DTB37,7DTB37,983MB,Tablet,Mediatek MT8127,1280x800,160,armeabi-v7a;armeabi,21,2
Mecer,800P31C,800P31C,953MB,Tablet,Mediatek MT8382,800x1280,213,armeabi-v7a;armeabi,19,2
Mecer,800P71D,800P71D,920MB,Tablet,Mediatek MT8735M,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,22,3
Coolpad,801E,801E,787MB,Phone,Qualcomm MSM8930,540x960,240,armeabi-v7a;armeabi,16,2
Coolpad,801EM,801EM,787MB,Phone,Qualcomm MSM8930,540x960,240,armeabi-v7a;armeabi,16,2
Coolpad,Coolpad801ES,801ES,805MB,Phone,Qualcomm MSM8930,540x960,240,armeabi-v7a;armeabi,16,2
Doro,Liberto 820 Mini,820Mini,463MB,Phone,Mediatek MT6572,480x800,240,armeabi-v7a;armeabi,19,2
Doro,825A,825A,905MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,22,3
IView,920TPC,920TPC,1024MB,Tablet,Rockchip RK3168,1024x600,160,armeabi-v7a;armeabi,17,2
OnePlus,One,A0001,2820-2883MB,Phone,Qualcomm MSM8974AC,1080x1920,480,armeabi-v7a;armeabi,18;19;21;22;23,3
Blu,Advance A5 LTE,A0010WW,866MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Blu,Advance A5 Plus LTE,A0031WW,1882MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Infocus,InFocus M7 Lite,A02,1864MB,Phone,Mediatek MT6737,720x1339,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Micromax,Bolt,A064,482MB,Phone,Mediatek MT6571,320x480,160,armeabi-v7a;armeabi,19,2
Micromax,Bolt,A065,477MB,Phone,Mediatek MT6571,480x800,240,armeabi-v7a;armeabi,19,2
Micromax,Bolt,A066,482MB,Phone,Mediatek MT6571,320x480,160,armeabi-v7a;armeabi,19,2
Micromax,Bolt,A067,477MB,Phone,Mediatek MT6571,480x800,240,armeabi-v7a;armeabi,19,2
Micromax,BOLT,A068,480MB,Phone,Mediatek MT6572M,480x854,240,armeabi-v7a;armeabi,17,2
Micromax,BOLT,A069,476MB,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,19,2
Infocus,InFocus M7S,A08,2871MB,Phone,Mediatek MT6737,720x1339,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Micromax,Bolt,A082,478MB,Phone,Mediatek MT6572M,480x800,240,armeabi-v7a;armeabi,19,2
Micromax,CANVAS ENGAGE,A091,450MB,Phone,Broadcom BCM23550,480x800,240,armeabi-v7a;armeabi,19,2
Micromax,UNITE,A092,911MB,Phone,Qualcomm MSM8212,480x800,240,armeabi-v7a;armeabi,18,3
Micromax,Canvas Fire,A093,457MB,Phone,Mediatek MT6582M,480x800,240,armeabi-v7a;armeabi,19,2
Micromax,Canvas Fire3,A096,961-962MB,Phone,Mediatek MTK6582M,540x960,240,armeabi-v7a;armeabi,19;21,2
Mintt,A1,A1,853MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Lava,iris atom,A1,458MB,Phone,Spreadtrum SC7731,800x480,240,armeabi-v7a;armeabi,22,2
Karbonn,A1 Indian,A1_Indian,934MB,Phone,Mediatek MT6737,480x800,240,armeabi-v7a;armeabi,24,3.1
ANEE,A1 Neo,A1_Neo,1887MB,Phone,Spreadtrum SC9832A,480x854,240,armeabi-v7a;armeabi,24,2
QMobile,Pakistan,A1_sprout,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,22;23,2
Aamra WE,A10,A10,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Blackview,Blackview A10,A10,1910MB,Phone,Mediatek MT6580M,720x1280,320,armeabi-v7a;armeabi,24,2
Acer,Liquid S1,a10,965-967MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17;19,2
Lenovo,TAB A10-80HC,A10_80HC,952MB,Tablet,Mediatek MT8382,1280x800,160,armeabi-v7a;armeabi,19,2
Mito,A10,A10_sprout,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,22;23,2
Lenovo,TAB 2 A10,A10-70F,1821-1979MB,Tablet,Mediatek MT8125,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,19;21;23,3
Lenovo,TAB 2 A10,A10-70L,1821-1897MB,Tablet,Mediatek MT8125,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,19;21;23,3
Lenovo,A1000,A1000,963MB,Phone,Spreadtrum SC7731,480x800,240,armeabi-v7a;armeabi,21,2
Southern Telecom,A1000/P1003/P1010,A1000,998MB,Tablet,Rockchip RK3126,1024x600,160,armeabi-v7a;armeabi,23,2
Lenovo,A1000,A1000F,987MB,Tablet,Mediatek MT8317,1024x600,160,armeabi-v7a;armeabi,16,2
Lenovo,A1010,A1010a20,967MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,22,2
Archos,101 Platinum,A101PL,2048MB,Tablet,Rockchip RK3188,1280x800,160,armeabi-v7a;armeabi,17,2
Archos,101 Titanium,A101TI,876MB,Tablet,Rockchip RK3066,1280x800,160,armeabi-v7a;armeabi,16,2
Archos,101 Xenon,a101xe,970MB,Tablet,Mediatek MT8389M,1280x800,160,armeabi-v7a;armeabi,17,2
Ceibal,A102,A102,967MB,Tablet,Mediatek MT8163,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Micromax,Canvas Fire,A104,963MB,Phone,Mediatek MT6582M,480x854,240,armeabi-v7a;armeabi,19,2
Micromax,CANVAS ENTICE,A105,450MB,Phone,Broadcom BCM23550,480x800,240,armeabi-v7a;armeabi,19,2
Micromax,Unite2,A106,964-966MB,Phone,Mediatek MTK6582M,480x800,240,armeabi-v7a;armeabi,19;21,2
Micromax,Canvas Fire4,A107,965MB,Phone,Mediatek MTK6582M,480x854,240,armeabi-v7a;armeabi,21,2
Micromax,Canvas L,A108,963MB,Phone,Mediatek MT6582M,540x960,240,armeabi-v7a;armeabi,19,2
Micromax,Canvas XL2,A109,973MB,Phone,Mediatek MT6589M,540x960,240,armeabi-v7a;armeabi,19,2
Tekwind,A10A,A10A,,Tablet,Intel Z3735F,1920x1200,240,x86;armeabi-v7a;armeabi,22,3.1
Tekwind,Clide A10B,A10B,1998MB,Tablet,Rockchip RK3288,1200x1920,240,armeabi-v7a;armeabi,25,3.2
Oppo,A11,A11,898MB,Phone,Qualcomm MSM8916,480x854,240,armeabi-v7a;armeabi,19,3
Vmobile,A11_Y,A11_Y,924MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,27,3.1
AOC,A110_E,A110_E,967MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Micromax,A111,A111,405MB,Phone,Qualcomm MSM8225Q,480x854,240,armeabi-v7a;armeabi,16,2
Micromax,CANVAS BEAT,A114R,954MB,Phone,Broadcom BCM23550,540x960,240,armeabi-v7a;armeabi,17,2
Micromax,CANVAS TUBE,A118R,954MB,Phone,Broadcom BCM23550,540x960,240,armeabi-v7a;armeabi,17,2
Oppo,A11w,A11w,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,19,2
Acer,Liquid S2,a12,1849MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17,2
Micromax,CANVAS 2 COLOURS,A120,954-966MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,17;19,2
Micromax,CANVAS ELANZA 2,A121,911MB,Phone,Qualcomm MSM8212,720x1280,320,armeabi-v7a;armeabi,18,3
Vmobile,A13,A13,953MB,Phone,Mediatek MT6580M,540x960,240,armeabi-v7a;armeabi,27,2
Archos,FamilyPad 2,A133FP2,874MB,Tablet,Rockchip RK3066,1280x800,160,armeabi-v7a;armeabi,16,2
Oppo,A1601,A1601,2785-2820MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22;23,3
Oppo,A1603,A1603,962MB,Phone,Mediatek MT6582,540x960,240,armeabi-v7a;armeabi,22,2
Smartfren,A16C3H,A16C3H,902MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3
Blu,Advance A6,A190,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2
Micromax,Canvas HD Plus,A190,952MB,Phone,Mediatek MT6591,720x1280,320,armeabi-v7a;armeabi,19,2
Lenovo,A1900,A1900,432MB,Phone,Spreadtrum SC7730,480x800,240,armeabi-v7a;armeabi,19,2
Nokia,Nokia 8 Sirocco,A1N,5710-5711MB,Phone,Qualcomm MSM8998,1440x2560,560,arm64-v8a;armeabi-v7a;armeabi,26;27,3.2
Nokia,Nokia 8 Sirocco,A1N_sprout,5710-5711MB,Phone,Qualcomm MSM8998,1440x2560,560,arm64-v8a;armeabi-v7a;armeabi,26;27,3.2
Blackview,A20,A20,934MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2
Lenovo,A2010-a,A2010-a,934MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,22,3
Lenovo,A2010l36,A2010l36,934MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,22,3
Lenovo,A2016a40,A2016a40,934MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,23,3
Lenovo,A2016b30,A2016b30,934MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,23,3
Lenovo,A2016b31,A2016b31,934MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,23,3
Blackview,Blackview A20 Pro,A20Pro,1879MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Mito,MITO A21,A21,801MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Blu,Advance_A7,A210,898MB,Tablet,Mediatek MT8321,1024x600,160,armeabi-v7a;armeabi,24,2
Micromax,CANVAS 4,A210,971MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17,2
Lenovo,IdeaTabA2109A,A2109A,973MB,Tablet,NVidia Tegra 3 T30,1280x752,160,armeabi-v7a;armeabi,15;16,2
Blu,Advance_5_2,A230Q,903MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,24,2
Micromax,BOLT,A24,,Phone,Spreadtrum SC6820,240x320,120,armeabi-v7a;armeabi,10,2
Micromax,A240,A240,971MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17,2
Blu,A250,A250,951MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2
Micromax,CANVAS TURBO,A250,1968MB,Phone,Mediatek MT6589,1080x1920,480,armeabi-v7a;armeabi,17,2
Hyundai,Eternity A24,A25024L,899MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Micromax,Canvas Selfie,A255,1969MB,Phone,Mediatek MT6592,720x1280,320,armeabi-v7a;armeabi,19,2
Hyundai,A25563L,A25563L,902MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Lenovo,A2580,A2580,911MB,Phone,Mediatek MT6735M,480x854,240,arm64-v8a;armeabi-v7a;armeabi,21,3
Hyundai,A26062k,A26062K,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2
Hyundai,A26062L,A26062L,902MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Smartfren,A26C4H,A26C4H,1915MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,23,3
Lenovo,A2800,A2800-d,420MB,Phone,Spreadtrum SC8830,480x800,240,armeabi-v7a;armeabi,19,2
Lenovo,A2860,A2860,438MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,19,3
Micromax,Canvas Knight Cameo,A290,952MB,Phone,Mediatek MT6592M,720x1280,320,armeabi-v7a;armeabi,19,2
BenQ,A3,A3,816MB,Phone,Qualcomm MSM8225Q,540x960,240,armeabi-v7a;armeabi,16,2
Lava,iris atom 3,A3,457MB,Phone,Spreadtrum SC7731,854x480,240,armeabi-v7a;armeabi,22,2
QMobile,NOIR A3,A3,1946MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,22,3
Lava,A3_mini,A3_mini,1866MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Blackview,Blackview A30,A30,1970MB,Phone,Mediatek MT6580,540x1132,240,armeabi-v7a;armeabi,27,2
Micromax,CANVAS GOLD,A300,1944MB,Phone,Mediatek MT6592T,1080x1920,480,armeabi-v7a;armeabi,19,2
Lenovo,A3000,A3000,974MB,Tablet,Mediatek MT8389,1024x600,160,armeabi-v7a;armeabi,17,2
